OrphaCode,Name,Prevalence,ExpertLink
366,Glycogen storage disease due to glycogen debranching enzyme deficiency,1.0 (United States); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=366
166093,Von Willebrand disease type 2N,0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166093
368,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=368
166096,Von Willebrand disease type 3,0.1865 (Worldwide); 0.037 (Austria); 0.24 (Finland); 0.016 (France); 0.044 (Greece); 0.16 (Israel); 0.055 (Italy); 0.037 (Netherlands); 0.25 (Norway); 0.022 (Portugal); 0.011 (Spain); 0.312 (Sweden); 0.027 (United Kingdom),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166096
367,Glycogen storage disease due to glycogen branching enzyme deficiency,0.1 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=367
371,Glycogen storage disease due to muscle phosphofructokinase deficiency,100.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=371
166105,FASTKD2-related infantile mitochondrial encephalomyopathy,3.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166105
369,Glycogen storage disease due to liver glycogen phosphorylase deficiency,0.0 (Worldwide); 2.3 (Israel); 4.8 (Specific population),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=369
447,Paroxysmal nocturnal hemoglobinuria,0.35 (United Kingdom); 3.81 (United Kingdom); 2.0 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=447
166108,Birk-Barel syndrome,1.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166108
166113,Bazex syndrome,145.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166113
535,Rare cutaneous lupus erythematosus,50.0 (Europe); 4.3 (United States); 73.0 (United States); 4.0 (Sweden),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=535
166119,Isolated osteopoikilosis,2.0 (Worldwide); 2.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166119
487,Krabbe disease,0.327 (United States); 1.0 (Europe); 0.7 (Worldwide); 1.0 (Europe); 0.7 (France); 0.71 (Australia); 1.35 (Netherlands); 1.21 (Portugal); 0.6 (Germany); 1.0 (Turkey); 0.4 (Czech Republic); 1.9 (Sweden),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=487
166260,Dentinogenesis imperfecta type 2,14.6 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166260
166265,Dentinogenesis imperfecta type 3,0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166265
583,Mucopolysaccharidosis type 6,"0.16 (Europe); 0.23 (Germany); 0.15 (Netherlands); 0.42 (Portugal); 0.23 (Sweden); 3.3 (Sweden); 0.07 (Norway); 2.2 (Norway); 0.05 (Denmark); 3.7 (Denmark); 0.05 (Czech Republic); 0.37 (Australia); 0.1 (Canada); 0.14 (Taiwan, Province of China); 0.27 (Estonia); 0.059 (Colombia); 0.16 (Europe); 2.3 (Turkey); 0.0132 (Poland); 7.85 (Saudi Arabia); 0.28 (Brazil); 0.03 (Japan); 0.11 (Switzerland); 0.3 (Tunisia); 0.019 (Korea, Republic of); 0.04 (United States); 0.011 (United States)",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=583
166272,Odontochondrodysplasia,11.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166272
576,Mucolipidosis type II,0.34 (Europe); 0.0 (Europe); 0.81 (Portugal); 0.16 (Netherlands); 16.2 (Specific population); 0.05 (Sweden),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=576
166277,Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia,3.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166277
812,Sialidosis type 1,0.0 (Europe); 0.0 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=812
166282,Familial sick sinus syndrome,11.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166282
578,Mucolipidosis type IV,0.0 (Worldwide); 0.1 (Sweden); 2.5 (Specific population),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=578
166286,Porokeratotic eccrine ostial and dermal duct nevus,45.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166286
577,Mucolipidosis type III,0.985 (Europe); 0.08 (Netherlands); 1.68 (Portugal); 29.55 (Europe); 2.4 (Netherlands); 50.4 (Portugal),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=577
166291,Dirofilariasis,0.0 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166291
166308,Benign infantile focal epilepsy with midline spikes and waves during sleep,36.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166308
166305,Benign infantile seizures associated with mild gastroenteritis,100.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166305
2912,Poliomyelitis,0.0 (Europe); 0.0 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2912
796,Sandhoff disease,1.49 (Portugal); 0.34 (Netherlands); 0.19 (Czech Republic); 0.26 (Australia); 0.95 (Turkey); 0.3 (United States); 0.67 (Europe); 0.0 (Europe); 0.38 (Sweden),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=796
801,Scleroderma,1.41 (Worldwide); 42.0 (Worldwide); 1.5 (Australia); 23.0 (Australia); 469.0 (Specific population),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=801
461,Recessive X-linked ichthyosis,15.0 (Europe); 16.6 (Europe); 9.9 (Italy),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=461
584,Mucopolysaccharidosis type 7,0.01 (Europe); 0.24 (Netherlands); 0.02 (Brazil); 0.02 (Czech Republic); 0.02 (Japan); 0.038 (Switzerland); 0.047 (Australia); 0.007 (United States); 0.027 (United States); 0.29 (Canada),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=584
881,Turner syndrome,5.5 (Europe); 7.5 (Austria); 7.9 (Belgium); 10.5 (Bulgaria); 3.6 (Croatia); 10.4 (Denmark); 7.1 (France); 8.0 (Germany); 3.2 (Hungary); 7.1 (Ireland); 3.4 (Italy); 1.1 (Malta); 14.0 (Netherlands); 4.2 (Norway); 3.6 (Poland); 2.8 (Portugal); 2.8 (Spain); 22.4 (Switzerland); 10.1 (United Kingdom); 2.3 (Ukraine); 70.0 (Japan); 42.5 (Singapore); 0.0 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=881
95,Friedreich ataxia,2.0 (Europe); 2.3 (France); 2.8 (Italy); 1.1 (Italy); 6.2 (Spain); 4.3 (Spain); 1.0 (Finland); 0.13 (Finland); 0.7 (Denmark); 0.9 (Portugal); 1.8 (United Kingdom); 0.9 (Greece); 1.0 (Norway); 2.1 (Germany); 0.24 (Sweden); 0.27 (Czech Republic); 3.03 (Russian Federation),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=95
848,Beta-thalassemia,1.0 (Worldwide); 0.5 (France); 10.0 (Europe); 0.0 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=848
846,Alpha-thalassemia,0.0 (Europe); 10.3 (United States); 0.0 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=846
586,Cystic fibrosis,19.3912 (Europe); 11.1319 (Europe); 28.5714 (Austria); 8.39 (Austria); 35.0877 (Belgium); 20.1429 (Belgium); 40.0 (Bulgaria); 2.26 (Bulgaria); 12.6358 (Cyprus); 3.35 (Cyprus); 15.29 (Czech Republic); 8.7775 (Czech Republic); 17.41 (Denmark); 9.9946 (Denmark); 22.2222 (Estonia); 6.18 (Estonia); 4.0 (Finland); 1.1027 (Finland); 21.15 (France); 12.1416 (France); 19.5017 (Germany); 11.1954 (Germany); 28.5714 (Greece); 5.21 (Greece); 0.0 (Hungary); 4.09 (Hungary); 36.36 (Ireland); 20.8733 (Ireland); 17.809 (Italy); 10.2236 (Italy); 0.0 (Latvia); 1.04 (Latvia); 0.0 (Lithuania); 1.3 (Lithuania); 0.0 (Luxembourg); 4.31 (Luxembourg); 0.0 (Malta); 5.79 (Malta); 16.58 (Netherlands); 9.5181 (Netherlands); 11.5474 (Norway); 6.629 (Norway); 17.4881 (Poland); 10.0394 (Poland); 12.549 (Portugal); 7.204 (Portugal); 48.6381 (Romania); 1.06 (Romania); 9.7119 (Russian Federation); 5.5753 (Russian Federation); 15.38 (Slovakia); 8.8292 (Slovakia); 33.3333 (Slovenia); 3.28 (Slovenia); 16.5048 (Spain); 9.4749 (Spain); 17.9285 (Sweden); 10.2922 (Sweden); 41.9991 (United Kingdom); 13.7 (United Kingdom); 13.1995 (Brazil); 0.7786 (China),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=586
262,Duchenne and Becker muscular dystrophy,0.23 (United Kingdom); 0.0 (Europe); 0.0 (United States),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=262
261,Emery-Dreifuss muscular dystrophy,0.3 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=261
550,MELAS,0.18 (Japan); 0.0 (Worldwide); 0.6 (Europe); 1.63 (Finland); 236.0 (Specific population),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=550
269,Facioscapulohumeral dystrophy,4.5 (Europe); 4.4 (Italy); 3.95 (United Kingdom); 2.0 (Japan); 12.0 (Netherlands); 0.3 (Netherlands),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=269
480,Kearns-Sayre syndrome,2.0 (Europe); 0.8 (Finland); 1.0 (United Kingdom); 0.3 (Israel),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=480
593,Myofibrillar myopathy,0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=593
551,MERRF,0.494 (Sweden); 0.0 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=551
597,Central core disease,0.4 (United Kingdom); 0.0 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=597
607,Nemaline myopathy,2.0 (Europe); 0.2 (United Kingdom),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=607
163746,Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease,40.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163746
684,Paramyotonia congenita of Von Eulenburg,0.0 (Worldwide); 0.17 (United Kingdom); 0.94 (Netherlands); 0.0 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=684
273,Steinert myotonic dystrophy,"5.0 (Europe); 12.5 (Worldwide); 10.4 (United Kingdom); 7.9 (Iceland); 5.3 (Serbia); 9.13 (Japan); 0.46 (Taiwan, Province of China); 14.3 (South Africa); 76.3 (Specific population); 210.5 (Specific population); 0.2 (Serbia); 9.31 (Italy); 11.95 (Ireland); 20.0 (Specific population); 5.7 (Specific population); 18.1 (Croatia)",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=273
163937,"X-linked intellectual disability, Najm type",35.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163937
163934,Atopic keratoconjunctivitis,15.0 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163934
614,Thomsen and Becker disease,1.0 (Worldwide); 0.0 (Europe); 7.3 (Finland); 0.9 (Italy); 0.52 (United Kingdom); 0.75 (Netherlands),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=614
163921,Posttransplant acute limbic encephalitis,0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163921
163966,"X-linked dominant chondrodysplasia, Chassaing-Lacombe type",10.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163966
163971,"X-linked intellectual disability, Cilliers type",0.0 (Worldwide); 4.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163971
163976,"X-linked intellectual disability, Van Esch type",0.0 (Worldwide); 7.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163976
163979,X-linked intellectual disability-craniofacioskeletal syndrome,0.0 (Worldwide); 9.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163979
163956,"X-linked intellectual disability, Nascimento type",8.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163956
163961,X-linked cerebral-cerebellar-coloboma syndrome,0.0 (Worldwide); 3.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163961
324,Fabry disease,6.66 (Worldwide); 6.96 (Australia); 0.21 (Netherlands); 0.12 (Portugal); 0.52 (Czech Republic); 0.015 (Turkey); 0.15 (United Kingdom); 0.25 (Japan); 0.0 (Europe); 1.11 (Sweden); 0.118 (China),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=324
163985,Hyperekplexia-epilepsy syndrome,4.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=163985
778,Rett syndrome,5.0 (Europe); 10.0 (Europe); 0.0 (France); 0.0 (Worldwide); 5.0 (Sweden); 0.0 (Japan); 0.0 (United States); 1.6 (United Kingdom); 3.05 (Australia); 0.0 (Australia); 0.0 (Hong Kong),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=778
72,Angelman syndrome,7.5 (Worldwide); 1.3 (Europe); 0.0 (Europe); 2.5 (Australia); 0.0 (Australia); 5.0 (Spain); 8.3 (Spain); 1.8 (Estonia); 0.0 (Estonia); 10.0 (Denmark); 0.5 (Denmark); 4.0 (United Kingdom),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=72
307,Juvenile myoclonic epilepsy,0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=307
1941,Juvenile absence epilepsy,7.5 (Europe); 0.0 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1941
892,Von Hippel-Lindau disease,2.3 (United Kingdom); 1.1 (United Kingdom); 0.0 (Europe); 2.13 (Denmark); 3.66 (Denmark),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=892
731,Autosomal recessive polycystic kidney disease,5.0 (Germany); 0.0 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=731
138,CHARGE syndrome,3.5 (Canada); 6.5 (Worldwide); 0.0 (Worldwide); 9.0 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=138
558,Marfan syndrome,25.0 (Europe); 15.0 (Worldwide); 20.0 (Europe); 10.2 (United Kingdom); 7.0 (United Kingdom); 10.0 (United States),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=558
165805,Familial mesial temporal lobe epilepsy with febrile seizures,4.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=165805
803,Amyotrophic lateral sclerosis,"2.2 (Europe); 5.2 (Europe); 3.85 (Worldwide); 1.35 (Worldwide); 1.06 (United Kingdom); 4.9 (United Kingdom); 2.1 (Ireland); 4.7 (Ireland); 2.4 (Finland); 6.4 (Finland); 2.0 (Canada); 4.9 (Canada); 1.46 (United States); 1.37 (Uruguay); 1.9 (Uruguay); 1.4 (Denmark); 3.1 (Denmark); 3.0 (Italy); 7.9 (Italy); 2.0 (France); 1.4 (Spain); 5.4 (Spain); 2.2 (Norway); 4.0 (Norway); 0.51 (Taiwan, Province of China); 1.97 (Taiwan, Province of China); 2.6 (Faroe Islands); 0.42 (Iran, Islamic Republic of); 1.57 (Iran, Islamic Republic of); 2.5 (Specific population); 10.8 (Specific population); 1.4 (Specific population); 6.0 (Specific population)",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=803
100,Ataxia-telangiectasia,10.0 (Norway); 0.4 (Norway); 1.7 (United States); 0.49 (Europe); 0.15 (Portugal); 0.25 (France); 0.25 (United Kingdom); 1.19 (Italy),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=100
733,Familial adenomatous polyposis,0.0 (Worldwide); 6.0 (Europe); 19.0 (Denmark); 4.65 (Denmark); 8.6 (Sweden); 3.2 (Sweden); 15.8 (Finland); 2.63 (Finland); 11.6 (United Kingdom); 5.3 (United Kingdom); 0.24 (Australia); 2.8 (Australia),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=733
399,Huntington disease,"4.0 (Greece); 0.38 (Worldwide); 2.7 (Worldwide); 12.0 (Europe); 10.6 (Ireland); 0.61 (United Kingdom); 5.4 (United Kingdom); 0.11 (Italy); 6.35 (Italy); 0.69 (Canada); 0.3 (United States); 1.9 (United States); 0.65 (Japan); 0.65 (Australia); 6.3 (Australia); 0.046 (China); 0.37 (China); 5.2 (Slovenia); 0.08 (Taiwan, Province of China); 0.42 (Taiwan, Province of China); 0.14 (Iceland); 1.0 (Iceland); 6.7 (Norway); 4.7 (Sweden); 0.33 (Greece); 0.5 (Finland); 21.0 (Egypt); 4.64 (Cyprus); 0.12 (Cyprus); 5.8 (Denmark); 4.94 (Spain); 0.35 (Spain)",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=399
501,Lafora disease,0.1 (France); 0.0 (Europe); 300.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=501
870,Down syndrome,95.0 (Worldwide); 0.0 (Worldwide); 101.0 (Europe); 57.0 (Europe); 63.7 (France); 98.3 (Germany); 70.0 (Belgium); 74.0 (Italy); 91.2 (Netherlands); 110.0 (Norway); 69.0 (Spain); 38.0 (Portugal); 91.6 (United Kingdom); 98.0 (Switzerland); 66.0 (Poland); 59.0 (Denmark); 44.0 (Croatia); 75.0 (Hungary); 235.0 (Ireland); 100.0 (Ukraine); 174.0 (Japan); 66.0 (United Kingdom); 126.0 (United States); 130.0 (South Africa),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=870
512,Metachromatic leukodystrophy,1.47 (Europe); 0.1 (Europe); 1.42 (Netherlands); 1.85 (Portugal); 0.6 (Germany); 1.43 (Turkey); 1.09 (Australia); 0.69 (Czech Republic); 0.38 (Poland); 2.5 (United States); 0.0 (Worldwide); 1.73 (Sweden),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=512
567,22q11.2 deletion syndrome,9.6 (Europe); 10.3 (France); 37.5 (Worldwide); 16.8 (United States); 0.0 (Worldwide); 0.0 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=567
166016,"Multiple epiphyseal dysplasia, Lowry type",2.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166016
232,Sickle cell anemia,42.0 (France); 25.0 (Germany); 30.0 (United States); 47.5 (Belgium); 41.7 (United Kingdom); 10.0 (Europe); 32.8 (United States); 344.8 (Guadeloupe); 248.75 (Martinique); 467.3 (Guyana); 20.15 (Reunion); 21.6262 (Brazil),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=232
536,Systemic lupus erythematosus,"47.0 (France); 64.2 (Martinique); 14.7 (New Zealand); 20.6 (Korea, Republic of); 53.6 (United States); 37.0 (Taiwan, Province of China); 0.0 (Europe); 28.0 (Finland); 5.14 (Worldwide); 43.7 (Worldwide); 81.84 (Poland)",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=536
534,Oculocerebrorenal syndrome of Lowe,0.2 (Worldwide); 0.2 (Europe); 0.2 (United Kingdom),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=534
790,Retinoblastoma,"0.05 (Europe); 4.6 (Taiwan, Province of China); 5.9 (Korea, Republic of); 1.05 (Europe); 6.0 (Worldwide); 5.05 (Japan); 0.0 (Europe); 0.018 (Austria); 0.073 (Belgium); 0.035 (Bulgaria); 0.04 (Croatia); 0.018 (Estonia); 0.053 (Finland); 0.033 (Germany); 0.043 (Iceland); 0.071 (Ireland); 0.045 (Italy); 0.016 (Latvia); 0.017 (Lithuania); 0.094 (Malta); 0.071 (Norway); 0.038 (Poland); 0.047 (Portugal); 0.042 (Slovakia); 0.038 (Slovenia); 0.048 (Spain); 0.039 (Switzerland); 0.071 (United Kingdom); 0.107 (Netherlands)",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=790
652,Multiple endocrine neoplasia type 1,3.3 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=652
908,Fragile X syndrome,32.5 (Worldwide); 20.0 (Europe); 9.7 (United States); 1.3 (France); 19.0 (Spain); 16.11 (Canada); 2.4 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=908
3099,Rheumatic fever,5.0 (Europe); 12.5 (Canada); 12.5 (Spain); 100.0 (Australia); 30.0 (India); 100.0 (Mexico); 5.0 (Latin America); 7.6 (New Zealand); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=3099
739,Prader-Willi syndrome,0.0 (Worldwide); 0.0 (Worldwide); 3.1 (Europe); 0.0 (Europe); 3.7 (Belgium); 1.3 (Belgium); 3.4 (United Kingdom); 1.9 (United Kingdom); 6.6 (Japan); 0.0 (Japan); 4.0 (Australia); 0.0 (Australia); 6.2 (United States); 0.0 (United States); 4.76 (France); 0.229 (China),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=739
